V_exit (V),V_ent (V),Current (A),Current_MA,Current_minus_MA
0.883,0.848,0.0,0.0,0.0
0.884,0.849,0.0,0.0,0.0
0.885,0.85,0.0,0.0,0.0
0.886,0.851,0.0,0.0,0.0
0.887,0.852,0.0,0.0,0.0
0.888,0.853,0.0,0.0,0.0
0.889,0.854,0.0,0.0,0.0
0.89,0.855,0.0,0.0,0.0
0.891,0.856,0.0,0.0,0.0
0.892,0.857,0.0,0.0,0.0
0.893,0.858,0.0,0.0,0.0
0.894,0.859,0.0,0.0,0.0
0.895,0.86,0.0,0.0,0.0
0.896,0.861,0.0,0.0,0.0
0.897,0.862,0.0,0.0,0.0
0.898,0.863,0.0,0.0,0.0
0.899,0.864,0.0,0.0,0.0
0.9,0.865,0.0,0.0,0.0
